playlist_year,track_name,album_name,album_release_date,track_duration_ms,track_popularity,artist_name,artist_id,artist_followers,artist_genres,artist_popularity
2019,4 Kampé,4 Kampé,2024-10-25,214971,64,Joé Dwèt Filé,26zgIfFyTCImkHAp5gwKW8,695815,['r&b francais'],63
2019,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,2024-05-17,210373,97,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,101433183,"['art pop', 'pop']",96
2019,APT.,APT.,2024-10-18,169917,95,ROSÉ,3eVa5w3URK5duf6eyVDbu9,7632823,['k-pop'],82
2019,FLASHBACK,IL LE FALLAIT,2023-10-13,176120,71,Favé,20JMfmzDb5cjHxEoMXXMyY,698025,"['drill francais', 'pop urbaine', 'rap francais']",67
2019,Aucune attache,Aucune attache,2024-02-02,161977,73,KeBlack,7x3eTVPlBiPjXHn3qotY86,1467906,"['french hip hop', 'pop urbaine', 'r&b francais']",69
2019,Si Antes Te Hubiera Conocido,Si Antes Te Hubiera Conocido,2024-06-21,195824,94,KAROL G,790FomKkXshlbRYZFtlgla,51524480,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",91
2019,Hakayet,Hakayet,2023-11-20,158208,73,VEN1,3Cz37xnWAOtQEa5jfrTUbL,114747,[],66
2019,Où aller,Ceinture noire,2018-03-23,235746,65,GIMS,0GOx72r5AAEKRGQFn3xqXK,5017132,"['french hip hop', 'pop urbaine', 'r&b francais', 'rap conscient']",80
2019,Dolce Camara,AD VITAM ÆTERNAM,2024-02-08,178401,69,Booba,58wXmynHaAWI5hwlPZP3qL,3149766,"['french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']",73
2019,Nightcall,Nightcall,2024-09-20,179306,74,Kavinsky,0UF7XLthtbSF2Eur7559oV,965313,['filter house'],67
2019,TOKA,A LA VIE A LA MORT,2024-09-26,175901,71,SDM,0LKAV3zJ8a8AIGnyc5OvfB,1333635,"['french hip hop', 'pop urbaine', 'r&b francais']",81
2019,Boucherie,GOAT,2024-10-25,205045,65,Ninho,6Te49r3A6f5BiIgBRxH7FH,10421387,"['french hip hop', 'pop urbaine']",81
2019,Gata Only,EL COMIENZO,2024-08-09,222000,78,FloyyMenor,7CvTknweLr9feJtRGrpDBy,1048311,['reggaeton chileno'],84
2019,EL GEMANO,EL GEMANO,2024-07-31,248000,70,Genezio,0PcU18DNfkn3pmbjy5yMFz,111777,['r&b francais'],66
2019,J’crois qu’ils ont pas compris,Capitaine fait de l'art,2024-07-19,130000,73,Leto,6HCBnyTBSLdb3TFn2ayulY,1171217,"['french hip hop', 'pop urbaine', 'rap francais']",69
2019,Ghetto Star,GOAT,2024-10-25,168629,63,Ninho,6Te49r3A6f5BiIgBRxH7FH,10421387,"['french hip hop', 'pop urbaine']",81
2019,Laboratoire,Carré,2023-03-09,162840,72,Werenoi,3YBJLs7RqR0aPGBgU27nDh,1510775,"['french hip hop', 'pop urbaine']",79
2019,Beautiful Things,Fireworks & Rollerblades,2024-04-05,180304,89,Benson Boone,22wbnEMDvgVIAGdFeek6ET,3815769,['singer-songwriter pop'],86
2019,Wayeh,Imad,2024-05-24,148786,70,THEODORT,6q87j1F6EtUxjlvkJNknFp,184154,[],61
2019,Espresso,Short n' Sweet,2024-08-23,175459,88,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,14260468,['pop'],95
2019,Waribana,GOAT,2024-10-25,174415,62,Ninho,6Te49r3A6f5BiIgBRxH7FH,10421387,"['french hip hop', 'pop urbaine']",81
2019,C63,Pyramide 2,2024-10-18,209000,66,Werenoi,3YBJLs7RqR0aPGBgU27nDh,1510775,"['french hip hop', 'pop urbaine']",79
2019,POP (feat. La Mano 1.9),POP (feat. La Mano 1.9),2024-10-23,216261,62,Gazo,5gqmbbfjcikQBzPB5Hv13I,3220262,"['drill francais', 'french hip hop', 'pop urbaine', 'r&b francais', 'rap francais']",75
2019,Tu connais,Telegram 2,2023-09-21,169000,69,Werenoi,3YBJLs7RqR0aPGBgU27nDh,1510775,"['french hip hop', 'pop urbaine']",79
2020,Popcorn Salé,Popcorn Salé,2022-03-25,238653,60,SANTA,5Vf6gyVzfo8TnzrPRBg3qo,121339,['french pop'],62
2020,Avant toi,VersuS,2019-08-22,223800,63,Vitaa,0Ntl0oWMPWfBOoi9Qcr9ht,1305377,"['french pop', 'r&b francais']",63
2020,Celui qui part,Miroirs,2023-10-27,156413,55,Joseph Kamel,5SQFDZOMgKao4hMpULEaoI,49488,['french pop'],56
2020,Et Bam,La vingtaine,2022-11-18,219253,62,Mentissa,0cb0p26TbAeBeekZHfxWlS,131582,['french pop'],61
2020,Eté 90,Rupture 2 merde,2021-01-08,192613,65,Therapie TAXI,5MynxBz4ZMqvUzpcxTZl4C,544882,"['french indie pop', 'french pop', 'french rock', 'new french touch']",61
2020,Secret,Sentiments,2022-12-09,191173,61,Louane,7wjeXCtRND2ZdKfMJFu6JC,1429184,['french pop'],64
2020,La Quête,Civilisation,2021-11-19,244000,61,Orelsan,4FpJcNgOvIpSBeJgRg3OfN,2455281,"['french hip hop', 'old school rap francais', 'rap conscient']",66
2020,Si j'avais su,Rose des vents,2022-11-25,182040,60,Claudio Capéo,5KBbs98MK59UNMF1VTwMmz,825879,"['chanson', 'french pop', 'variete francaise']",60
2020,Le feu,L'école de la vie,2022-11-11,237160,58,Kendji Girac,4IS4EyXNmiI2w5SRCjMtEF,2091316,['french pop'],65
2020,Ceux qu'on était,Chaque seconde,2024-06-07,174426,61,Pierre Garnier,07UyhXWf7aDbvCZKhTKCpr,226659,['french pop'],64
